PlayerID,Name,Team,Position,Age,SF Value
marvin-harrison-jr-1585,Marvin Harrison Jr.,ARI,WR,22,8101
caleb-williams-1550,Caleb Williams,CHI,QB,22,7647
malik-nabers-1586,Malik Nabers,NYG,WR,21,6820
jayden-daniels-1552,Jayden Daniels,WAS,QB,23,6522
rome-odunze-1587,Rome Odunze,CHI,WR,22,5694
brock-bowers-1612,Brock Bowers,LVR,TE,21,5180
drake-maye-1551,Drake Maye,NEP,QB,21,4992
jonathon-brooks-1568,Jonathon Brooks,CAR,RB,21,4716
jj-mccarthy-1555,J.J. McCarthy,MIN,QB,21,4668
ladd-mcconkey-1598,Ladd McConkey,LAC,WR,22,4458
brian-thomas-jr-1589,Brian Thomas Jr.,JAC,WR,21,4442
xavier-worthy-1591,Xavier Worthy,KCC,WR,21,4356
keon-coleman-1588,Keon Coleman,BUF,WR,21,4041
trey-benson-1565,Trey Benson,ARI,RB,22,3915
michael-penix-jr-1554,Michael Penix Jr.,ATL,QB,24,3758
bo-nix-1553,Bo Nix,DEN,QB,24,3616
ricky-pearsall-1593,Ricky Pearsall,SFO,WR,23,3391
xavier-legette-1610,Xavier Legette,CAR,WR,23,3377
adonai-mitchell-1597,Adonai Mitchell,IND,WR,21,3273
blake-corum-1564,Blake Corum,LAR,RB,23,3179
ja-lynn-polk-1602,Ja'Lynn Polk,NEP,WR,22,2971
marshawn-lloyd-1575,MarShawn Lloyd,GBP,RB,23,2885
jaylen-wright-1581,Jaylen Wright,MIA,RB,21,2812
jermaine-burton-1603,Jermaine Burton,CIN,WR,23,2739
roman-wilson-1600,Roman Wilson,PIT,WR,23,2688
ben-sinnott-1615,Ben Sinnott,WAS,TE,22,2670
troy-franklin-1590,Troy Franklin,DEN,WR,21,2653
javon-baker-1608,Javon Baker,NEP,WR,22,2512
jalen-mcmillan-1599,Jalen McMillan,TBB,WR,22,2500
audric-estime-1566,Audric Estime,DEN,RB,20,2406
malachi-corley-1607,Malachi Corley,NYJ,WR,22,2307
braelon-allen-1567,Braelon Allen,NYJ,RB,20,2263
kimani-vidal-1636,Kimani Vidal,LAC,RB,22,2256
luke-mccaffrey-1606,Luke McCaffrey,WAS,WR,23,2250
bucky-irving-1569,Bucky Irving,TBB,RB,22,2223
ray-davis-1574,Ray Davis,BUF,RB,24,2107
ja-tavion-sanders-1614,Ja'Tavion Sanders,CAR,TE,21,2086
tyrone-tracy-1632,Tyrone Tracy,NYG,RB,24,1928
will-shipley-1572,Will Shipley,PHI,RB,21,1897
spencer-rattler-1557,Spencer Rattler,NOS,QB,23,1896
malik-washington-1623,Malik Washington,MIA,WR,23,1765
devontez-walker-1592,Devontez Walker,BAL,WR,23,1753
theo-johnson-1620,Theo Johnson,NYG,TE,23,1739
dylan-laube-1584,Dylan Laube,LVR,RB,24,1659
isaac-guerendo-1626,Isaac Guerendo,SFO,RB,24,1605
brenden-rice-1594,Brenden Rice,LAC,WR,22,1568
rasheen-ali-1631,Rasheen Ali,BAL,RB,23,1540
erick-all-1616,Erick All,CIN,TE,23,1516
jared-wiley-1619,Jared Wiley,KCC,TE,23,1425
cade-stover-1613,Cade Stover,HOU,TE,24,1404
