PlayerID,Name,Team,Position,Age,Non-SF Value
justin-jefferson-542,Justin Jefferson,MIN,WR,25,9999
ceedee-lamb-546,CeeDee Lamb,DAL,WR,25,9999
ja-marr-chase-1004,Ja'Marr Chase,CIN,WR,24,9974
amon-ra-st-brown-1010,Amon-Ra St. Brown,DET,WR,24,9407
bijan-robinson-1414,Bijan Robinson,ATL,RB,22,9358
marvin-harrison-jr-1585,Marvin Harrison Jr.,ARI,WR,21,9164
breece-hall-1224,Breece Hall,NYJ,RB,23,8547
jahmyr-gibbs-1415,Jahmyr Gibbs,DET,RB,22,8428
garrett-wilson-1270,Garrett Wilson,NYJ,WR,23,8044
puka-nacua-1426,Puka Nacua,LAR,WR,23,8029
christian-mccaffrey-283,Christian McCaffrey,SFO,RB,28,7946
josh-allen-365,Josh Allen,BUF,QB,28,7849
aj-brown-217,A.J. Brown,PHI,WR,27,7766
sam-laporta-1429,Sam LaPorta,DET,TE,23,7763
malik-nabers-1586,Malik Nabers,NYG,WR,20,7715
patrick-mahomes-272,Patrick Mahomes,KCC,QB,28,7699
2024-early-1st-1293,2024 Early 1st,FA,PICK,,7448
chris-olave-1271,Chris Olave,NOS,WR,24,7097
cj-stroud-1403,C.J. Stroud,HOU,QB,22,7086
drake-london-1268,Drake London,ATL,WR,22,7082
jaylen-waddle-1007,Jaylen Waddle,MIA,WR,25,7023
jonathan-taylor-634,Jonathan Taylor,IND,RB,25,6978
tyreek-hill-286,Tyreek Hill,MIA,WR,30,6948
rome-odunze-1587,Rome Odunze,CHI,WR,22,6862
brandon-aiyuk-538,Brandon Aiyuk,SFO,WR,26,6817
lamar-jackson-372,Lamar Jackson,BAL,QB,27,6757
jalen-hurts-595,Jalen Hurts,PHI,QB,25,6746
2025-early-1st-1361,2025 Early 1st,FA,PICK,,6743
nico-collins-1040,Nico Collins,HOU,WR,25,6703
devonta-smith-1005,DeVonta Smith,PHI,WR,25,6695
trey-mcbride-1253,Trey McBride,ARI,TE,24,6537
dalton-kincaid-1428,Dalton Kincaid,BUF,TE,24,6511
travis-etienne-1030,Travis Etienne,JAC,RB,25,6497
de-von-achane-1398,De'Von Achane,MIA,RB,22,6461
anthony-richardson-1405,Anthony Richardson,IND,QB,22,6428
dk-metcalf-224,DK Metcalf,SEA,WR,26,6315
michael-pittman-536,Michael Pittman,IND,WR,26,6309
zay-flowers-1443,Zay Flowers,BAL,WR,23,6304
brock-bowers-1612,Brock Bowers,LVR,TE,21,6297
joe-burrow-601,Joe Burrow,CIN,QB,27,6286
2024-mid-1st-1294,2024 Mid 1st,FA,PICK,,6246
